
[Name]
moving_wall

[Data]
X [ m ], Y [ m ], Z [ m ]
2.22222228e-02, 1.00000000e+00, 4.99999989e-03
2.22222228e-02, 1.00000000e+00, -4.99999989e-03
0.00000000e+00, 1.00000000e+00, -4.99999989e-03
0.00000000e+00, 1.00000000e+00, 4.99999989e-03
4.44444455e-02, 1.00000000e+00, 4.99999989e-03
4.44444455e-02, 1.00000000e+00, -4.99999989e-03
6.66666701e-02, 1.00000000e+00, 4.99999989e-03
6.66666701e-02, 1.00000000e+00, -4.99999989e-03
8.88888910e-02, 1.00000000e+00, 4.99999989e-03
8.88888910e-02, 1.00000000e+00, -4.99999989e-03
1.11111112e-01, 1.00000000e+00, 4.99999989e-03
1.11111112e-01, 1.00000000e+00, -4.99999989e-03
1.33333340e-01, 1.00000000e+00, 4.99999989e-03
1.33333340e-01, 1.00000000e+00, -4.99999989e-03
1.55555561e-01, 1.00000000e+00, 4.99999989e-03
1.55555561e-01, 1.00000000e+00, -4.99999989e-03
1.77777782e-01, 1.00000000e+00, 4.99999989e-03
1.77777782e-01, 1.00000000e+00, -4.99999989e-03
2.00000003e-01, 1.00000000e+00, 4.99999989e-03
2.00000003e-01, 1.00000000e+00, -4.99999989e-03
2.22222224e-01, 1.00000000e+00, 4.99999989e-03
2.22222224e-01, 1.00000000e+00, -4.99999989e-03
2.44444445e-01, 1.00000000e+00, 4.99999989e-03
2.44444445e-01, 1.00000000e+00, -4.99999989e-03
2.66666681e-01, 1.00000000e+00, 4.99999989e-03
2.66666681e-01, 1.00000000e+00, -4.99999989e-03
2.88888901e-01, 1.00000000e+00, 4.99999989e-03
2.88888901e-01, 1.00000000e+00, -4.99999989e-03
3.11111122e-01, 1.00000000e+00, 4.99999989e-03
3.11111122e-01, 1.00000000e+00, -4.99999989e-03
3.33333343e-01, 1.00000000e+00, 4.99999989e-03
3.33333343e-01, 1.00000000e+00, -4.99999989e-03
1.00000000e+00, 1.00000000e+00, 4.99999989e-03
1.00000000e+00, 1.00000000e+00, -4.99999989e-03
9.77777779e-01, 1.00000000e+00, -4.99999989e-03
9.77777779e-01, 1.00000000e+00, 4.99999989e-03
3.55555564e-01, 1.00000000e+00, 4.99999989e-03
3.55555564e-01, 1.00000000e+00, -4.99999989e-03
3.77777785e-01, 1.00000000e+00, 4.99999989e-03
3.77777785e-01, 1.00000000e+00, -4.99999989e-03
4.00000006e-01, 1.00000000e+00, 4.99999989e-03
4.00000006e-01, 1.00000000e+00, -4.99999989e-03
4.22222227e-01, 1.00000000e+00, 4.99999989e-03
4.22222227e-01, 1.00000000e+00, -4.99999989e-03
4.44444448e-01, 1.00000000e+00, 4.99999989e-03
4.44444448e-01, 1.00000000e+00, -4.99999989e-03
4.66666669e-01, 1.00000000e+00, 4.99999989e-03
4.66666669e-01, 1.00000000e+00, -4.99999989e-03
4.88888890e-01, 1.00000000e+00, 4.99999989e-03
4.88888890e-01, 1.00000000e+00, -4.99999989e-03
5.11111140e-01, 1.00000000e+00, 4.99999989e-03
5.11111140e-01, 1.00000000e+00, -4.99999989e-03
5.33333361e-01, 1.00000000e+00, 4.99999989e-03
5.33333361e-01, 1.00000000e+00, -4.99999989e-03
5.55555582e-01, 1.00000000e+00, 4.99999989e-03
5.55555582e-01, 1.00000000e+00, -4.99999989e-03
5.77777803e-01, 1.00000000e+00, 4.99999989e-03
5.77777803e-01, 1.00000000e+00, -4.99999989e-03
6.00000024e-01, 1.00000000e+00, 4.99999989e-03
6.00000024e-01, 1.00000000e+00, -4.99999989e-03
6.22222245e-01, 1.00000000e+00, 4.99999989e-03
6.22222245e-01, 1.00000000e+00, -4.99999989e-03
6.44444466e-01, 1.00000000e+00, 4.99999989e-03
6.44444466e-01, 1.00000000e+00, -4.99999989e-03
6.66666687e-01, 1.00000000e+00, 4.99999989e-03
6.66666687e-01, 1.00000000e+00, -4.99999989e-03
6.88888907e-01, 1.00000000e+00, 4.99999989e-03
6.88888907e-01, 1.00000000e+00, -4.99999989e-03
7.11111128e-01, 1.00000000e+00, 4.99999989e-03
7.11111128e-01, 1.00000000e+00, -4.99999989e-03
7.33333349e-01, 1.00000000e+00, 4.99999989e-03
7.33333349e-01, 1.00000000e+00, -4.99999989e-03
7.55555570e-01, 1.00000000e+00, 4.99999989e-03
7.55555570e-01, 1.00000000e+00, -4.99999989e-03
7.77777791e-01, 1.00000000e+00, 4.99999989e-03
7.77777791e-01, 1.00000000e+00, -4.99999989e-03
8.00000012e-01, 1.00000000e+00, 4.99999989e-03
8.00000012e-01, 1.00000000e+00, -4.99999989e-03
8.22222233e-01, 1.00000000e+00, 4.99999989e-03
8.22222233e-01, 1.00000000e+00, -4.99999989e-03
8.44444454e-01, 1.00000000e+00, 4.99999989e-03
8.44444454e-01, 1.00000000e+00, -4.99999989e-03
8.66666675e-01, 1.00000000e+00, 4.99999989e-03
8.66666675e-01, 1.00000000e+00, -4.99999989e-03
8.88888896e-01, 1.00000000e+00, 4.99999989e-03
8.88888896e-01, 1.00000000e+00, -4.99999989e-03
9.11111116e-01, 1.00000000e+00, 4.99999989e-03
9.11111116e-01, 1.00000000e+00, -4.99999989e-03
9.33333337e-01, 1.00000000e+00, 4.99999989e-03
9.33333337e-01, 1.00000000e+00, -4.99999989e-03
9.55555558e-01, 1.00000000e+00, 4.99999989e-03
9.55555558e-01, 1.00000000e+00, -4.99999989e-03
